"","Rank","Title","Description","Genre","Rating","Director","Actor"
"1",1,"Once Upon a Time... in Hollywood","    A faded television actor and his stunt double strive to achieve fame and success in the film industry during the final years of Hollywood's Golden Age in 1969 Los Angeles.","Comedy",8.1,"Quentin Tarantino","Leonardo DiCaprio"
"2",2,"Star Wars: The Rise of Skywalker","    The surviving Resistance faces the First Order once more in the final chapter of the Skywalker saga.","Action",NA,"J.J. Abrams","Daisy Ridley"
"3",3,"Joker","    An original standalone origin story of the iconic villain not seen before on the big screen, it's a gritty character study of Arthur Fleck, a man disregarded by society, and a broader cautionary tale.","Crime",9.7,"Todd Phillips","Joaquin Phoenix"
"4",4,"It Chapter Two","    Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back.","Horror",NA,"Andy Muschietti","Jessica Chastain"
"5",5,"Ready or Not","    A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.","Horror",7.2,"Matt Bettinelli-Olpin","Samara Weaving"
"6",6,"Angel Has Fallen","    Secret Service Agent Mike Banning is framed for the attempted assassination of the President and must evade his own agency and the FBI as he tries to uncover the real threat.","Action",6.7,"Ric Roman Waugh","Gerard Butler"
"7",7,"Terminator: Dark Fate","    Sarah Connor and a hybrid cyborg human must protect a young girl from a newly modified liquid Terminator from the future.","Action",NA,"Tim Miller","Mackenzie Davis"
"8",8,"Avengers: Endgame","    After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","Action",8.6,"Anthony Russo","Robert Downey Jr."
"9",9,"The King","    Hal, wayward prince and heir to the English throne, is crowned King Henry V after his tyrannical father dies. Now the young king must navigate palace politics, the war his father left behind, and the emotional strings of his past life.","Biography",7.7,"David Michôd","Timothée Chalamet"
"10",10,"Good Boys","    Three 6th grade boys ditch school and embark on an epic journey while carrying accidentally stolen drugs, being hunted by teenage girls, and trying to make their way home in time for a long-awaited party.","Adventure",6.9,"Gene Stupnitsky","Jacob Tremblay"
"11",11,"Ad Astra","    Astronaut Roy McBride undertakes a mission across an unforgiving solar system to uncover the truth about his missing father and his doomed expedition that now, 30 years later, threatens the universe.","Adventure",8.1,"James Gray","Brad Pitt"
"12",12,"John Wick: Chapter 3 - Parabellum","    Super-assassin John Wick is on the run after killing a member of the international assassin's guild, and with a $14 million price tag on his head - he is the target of hit men and women everywhere.","Action",7.7,"Chad Stahelski","Keanu Reeves"
"13",13,"Aladdin","    A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.","Adventure",7.2,"Guy Ritchie","Will Smith"
"14",14,"Fast & Furious Presents: Hobbs & Shaw","    Lawman Luke Hobbs and outcast Deckard Shaw form an unlikely alliance when a cyber-genetically enhanced villain threatens the future of humanity.","Action",6.8,"David Leitch","Dwayne Johnson"
"15",15,"Dark Phoenix","    Jean Grey begins to develop incredible powers that corrupt and turn her into a Dark Phoenix. Now the X-Men will have to decide if the life of a team member is worth more than all of humanity.","Action",5.9,"Simon Kinberg","James McAvoy"
"16",16,"Lady and the Tramp","    CGI and live-action re-imagining of the 1955 Disney classic.","Animation",NA,"Charlie Bean","Tessa Thompson"
"17",17,"The Lion King","    After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.","Animation",7.1,"Jon Favreau","Donald Glover"
"18",18,"Godzilla: King of the Monsters","    The crypto-zoological agency Monarch faces off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah.","Action",6.2,"Michael Dougherty","Kyle Chandler"
"19",19,"Hustlers","    Inspired by the viral New York Magazine article, Hustlers follows a crew of savvy former strip club employees who band together to turn the tables on their Wall Street clients.","Comedy",NA,"Lorene Scafaria","Constance Wu"
"20",20,"Scary Stories to Tell in the Dark","    A group of teens face their fears in order to save their lives.","Horror",6.4,"André Øvredal","Zoe Margaret Colletti"
"21",21,"Rocketman","    A musical fantasy about the fantastical human story of Elton John's breakthrough years.","Biography",7.5,"Dexter Fletcher","Taron Egerton"
"22",22,"Saaho","    The Story is about a power battle which is taking place in the higher echelons of power unrelated and unconnected episodes occurring in different parts of the globe, Intertwine in an ...                See full summary »","Action",5.9,"Sujeeth","Prabhas"
"23",23,"The Peanut Butter Falcon","    Zak runs away from his care home to make his dream of becoming a wrestler come true.","Adventure",8,"Tyler Nilson","Shia LaBeouf"
"24",24,"Rambo: Last Blood","    Rambo must confront his past and unearth his ruthless combat skills to exact revenge in a final mission.","Action",NA,"Adrian Grunberg","Sylvester Stallone"
"25",25,"Men in Black: International","    The Men in Black have always protected the Earth from the scum of the universe. In this new adventure, they tackle their biggest threat to date: a mole in the Men in Black organization.","Action",5.6,"F. Gary Gray","Chris Hemsworth"
"26",26,"Downton Abbey","    The continuing story of the Crawley family, wealthy owners of a large estate in the English countryside in the early 20th century.","Drama",NA,"Michael Engler","Matthew Goode"
