"";"created_at";"screen_name";"text"
"1";2019-09-03 08:04:24;"acelmarcelia_";"Sekitar 10 kendaraan roda empat dan truk mengalami kecelakaan beruntun di tol Cipularang Km 91, Purwakarta, Jawa Barat.

Sebanyak 6 orang dilaporkan meninggal dunia dan 8 lainnya terluka.

#Kecelakaan #Cipularang #Bandung #JawaBarat #Purwakarta #BreakingiNews https://t.co/nDsy3xFfPe"
"2";2019-09-03 08:03:52;"RedaksiMerdeka";"Cegah Kecelakaan, Kemenhub Analisis Kondisi KM 90 Tol Cipularang.
@kemenhub151 @BudiKaryaS #kecelakaan #KecelakaanCipularang #TolCipularang #BacaKoranRM #ClickRMCoid #RakyatMerdeka
https://t.co/FsSADhB3ku"
"3";2019-09-03 06:54:42;"RedaksiMerdeka";"Kepolisian Olah TKP Tragedi Di KM 91 Tewaskan 8 Orang.
#Kecelakaan #KecelakaanCipularang #TolCipularang #BacaKoranRM #ClickRMCoid #RakyatMerdeka
https://t.co/c34vKA5TQs"
"4";2019-09-03 03:07:30;"RedaksiMerdeka";"Ini Daftar 20 Kendaraan Korban Kecelakaan Maut KM 91 Tol Cipularang.
#KecelakaanCipularang #Kecelakaan #TolCipularang #BacaKoranRM #ClickRMCoid #RakyatMerdeka
https://t.co/T18e7cXtxU"
"5";2019-09-03 08:01:55;"Amri_G8";"Innalilahi.. Detik-Detik Sebelum Kecelakaan Beruntun di Cipularang Senin 2/9/19
#Cipularang #kecelakaan #otomotiv https://t.co/rCYXMj8j4E"
"6";2019-09-03 08:01:31;"MNCNewsroom";"Kecelakaan tabrak beruntun terjadi di KM 91 Tol Cipularang, Purwakarta, Jawa Barat. Akibat kecelakaan 9 orang meninggal dunia. (Sumber : iNews)
. 
#mncnewsroom #breakingnews #lakalantas #jasamarga #kecelakaan #cipularang #tolcipularang #jabar https://t.co/Kd4MtEXK84"
"7";2019-09-03 05:02:07;"MNCNewsroom";"Ini dia detik-detik kecelakaan maut di Tol Cipularang
.
(Sumber : MrHardTea &amp; KebacutBaper)
.
#mncnewsroom #breakingnews #lakalantas #jasamarga #kecelakaan #cipularang #tolcipularang https://t.co/TDVtEtcDms"
"8";2019-09-03 07:57:49;"IrhamArrazzaq";"Sekitar 10 kendaraan roda empat dan truk mengalami kecelakaan beruntun di tol Cipularang Km 91, Purwakarta, Jawa Barat.

Sebanyak 6 orang dilaporkan meninggal dunia dan 8 lainnya terluka.

#Kecelakaan #Cipularang #Bandung #JawaBarat #Purwakarta #BreakingiNews https://t.co/nDsy3xFfPe"
"9";2019-09-03 06:29:18;"IrhamArrazzaq";"Video Detik-detik tabrakan beruntun terjadi di KM 91 +400 Tol Cipularang dari arah Bandung ke Jakarta.

#jurnalwarga #infowarga #Kecelakaan #cipularang #purbaleunyi #purwakarta #bandung #jakarta https://t.co/Oj96emrTaj"
"10";2019-09-03 07:54:24;"Egisigitpras_8";"Kecelakaan di Tol Cipularang, Purwakarta, Jawa Barat, Senin (2/9) siang,  4 kendaraan terbakar, 8 orang meninggal, dan 28 lainnya terluka.  #Kecelakaan #Cipularang #SeputariNewsPagi #SeputariNewsRCTI

Saksikan selengkapnya di kanal YouTube Seputar iNews!
https://t.co/p7pbvyzVWJ https://t.co/n7iG7Lrjld"
